Marca,Dell,,,
Modelo,7460,,,
Processador,Intel® Core™ i7-7500U CPU @ 2.70GHz × 4 ,,,
GPU,GeForce 940MX/PCIe/SSE2,,,
OS,Ubuntu Mate 20.04.2 LTS (Focal Fossa) 64-bit,,,
,,,,
linguagem,versão,N,execução,tempo (s)
Python,3.8.5,26,1,"30,117"
Python,3.8.5,26,2,"31,387"
Python,3.8.5,26,3,"31,611"
Python,3.8.5,26,4,"30,094"
Python,3.8.5,26,5,"30,551"
Python,3.8.5,24,1,"7,282"
Python,3.8.5,24,2,"7,387"
Python,3.8.5,24,3,"7,303"
Python,3.8.5,24,4,"7,877"
Python,3.8.5,24,5,"8,097"
gcc,9.3.0,26,1,"1,936"
gcc,9.3.0,26,2,"1,907"
gcc,9.3.0,26,3,"1,922"
gcc,9.3.0,26,4,"1,927"
gcc,9.3.0,26,5,"1,915"
gcc,9.3.0,24,1,"0,465"
gcc,9.3.0,24,2,"0,469"
gcc,9.3.0,24,3,"0,467"
gcc,9.3.0,24,4,"0,467"
gcc,9.3.0,24,5,"0,456"
