processo,configuracao,media,desvio_padrao,variancia
compilar,default,1.867,0.07698376452213807,0.005926500000000004
compilar,march O3,7.2546,0.07105842666425966,0.0050492999999999675
compilar,march O3 pipe,7.3258,0.05839691772688006,0.003410199999999999
compilar,march O3 sse,7.2744,0.05112044600744403,0.0026133000000000003
compilar,O3,7.2746,0.04666154733825279,0.002177300000000006
executar,default,18.2346,0.05874351027985926,0.0034507999999999306
executar,march O3,7.4238,0.10531714010549306,0.011091700000000055
executar,march O3 pipe,7.4862,0.14392949662942614,0.02071569999999999
executar,march O3 sse,7.4542,0.10871844369747016,0.01181969999999999
executar,O3,7.7346,0.054123008046486044,0.002929299999999993
